peak,n,d,condition,epoch,loglik
FALSE,10,4,winsfs_b500_w100,69,-13312226
FALSE,10,4,winsfs_b500_w100,70,-13312335
FALSE,10,4,winsfs_b500_w100,71,-13312443
FALSE,10,4,winsfs_b500_w100,72,-13312551
FALSE,10,4,winsfs_b500_w100,73,-13312659
FALSE,10,4,winsfs_b500_w100,74,-13312766
FALSE,10,4,winsfs_b500_w100,75,-13312872
FALSE,10,4,winsfs_b500_w100,76,-13312978
FALSE,10,4,winsfs_b500_w100,77,-13313084
FALSE,10,4,winsfs_b500_w100,78,-13313189
FALSE,10,4,winsfs_b500_w100,79,-13313294
FALSE,10,4,winsfs_b500_w100,80,-13313399
FALSE,10,4,winsfs_b500_w100,81,-13313503
FALSE,10,4,winsfs_b500_w100,82,-13313607
FALSE,10,4,winsfs_b500_w100,83,-13313710
FALSE,10,4,winsfs_b500_w100,84,-13313813
FALSE,10,4,winsfs_b500_w100,85,-13313916
FALSE,10,4,winsfs_b500_w100,86,-13314019
FALSE,10,4,winsfs_b500_w100,87,-13314121
FALSE,10,4,winsfs_b500_w100,88,-13314223
FALSE,10,4,winsfs_b500_w100,89,-13314324
FALSE,10,4,winsfs_b500_w100,90,-13314425
FALSE,10,4,winsfs_b500_w100,91,-13314526
FALSE,10,4,winsfs_b500_w100,92,-13314627
FALSE,10,4,winsfs_b500_w100,93,-13314727
FALSE,10,4,winsfs_b500_w100,94,-13314827
FALSE,10,4,winsfs_b500_w100,95,-13314927
FALSE,10,4,winsfs_b500_w100,96,-13315026
FALSE,10,4,winsfs_b500_w100,97,-13315125
FALSE,10,4,winsfs_b500_w100,98,-13315224
FALSE,10,4,winsfs_b500_w100,99,-13315322
FALSE,10,4,winsfs_b500_w100,100,-13315421
FALSE,10,4,winsfs_b500_w250,1,-13417610
FALSE,10,4,winsfs_b500_w250,2,-13303730
FALSE,10,4,winsfs_b500_w250,3,-13301121
FALSE,10,4,winsfs_b500_w250,4,-13301031
FALSE,10,4,winsfs_b500_w250,5,-13301099
FALSE,10,4,winsfs_b500_w250,6,-13301202
FALSE,10,4,winsfs_b500_w250,7,-13301320
FALSE,10,4,winsfs_b500_w250,8,-13301446
FALSE,10,4,winsfs_b500_w250,9,-13301575
FALSE,10,4,winsfs_b500_w250,10,-13301706
FALSE,10,4,winsfs_b500_w250,11,-13301837
FALSE,10,4,winsfs_b500_w250,12,-13301966
FALSE,10,4,winsfs_b500_w250,13,-13302093
FALSE,10,4,winsfs_b500_w250,14,-13302219
FALSE,10,4,winsfs_b500_w250,15,-13302342
FALSE,10,4,winsfs_b500_w250,16,-13302463
FALSE,10,4,winsfs_b500_w250,17,-13302581
FALSE,10,4,winsfs_b500_w250,18,-13302696
FALSE,10,4,winsfs_b500_w250,19,-13302810
FALSE,10,4,winsfs_b500_w250,20,-13302921
FALSE,10,4,winsfs_b500_w250,21,-13303029
FALSE,10,4,winsfs_b500_w250,22,-13303136
FALSE,10,4,winsfs_b500_w250,23,-13303240
FALSE,10,4,winsfs_b500_w250,24,-13303343
FALSE,10,4,winsfs_b500_w250,25,-13303443
FALSE,10,4,winsfs_b500_w250,26,-13303542
FALSE,10,4,winsfs_b500_w250,27,-13303639
FALSE,10,4,winsfs_b500_w250,28,-13303734
FALSE,10,4,winsfs_b500_w250,29,-13303828
FALSE,10,4,winsfs_b500_w250,30,-13303920
FALSE,10,4,winsfs_b500_w250,31,-13304011
FALSE,10,4,winsfs_b500_w250,32,-13304100
FALSE,10,4,winsfs_b500_w250,33,-13304188
FALSE,10,4,winsfs_b500_w250,34,-13304275
FALSE,10,4,winsfs_b500_w250,35,-13304361
FALSE,10,4,winsfs_b500_w250,36,-13304445
FALSE,10,4,winsfs_b500_w250,37,-13304528
FALSE,10,4,winsfs_b500_w250,38,-13304610
FALSE,10,4,winsfs_b500_w250,39,-13304692
FALSE,10,4,winsfs_b500_w250,40,-13304772
FALSE,10,4,winsfs_b500_w250,41,-13304851
FALSE,10,4,winsfs_b500_w250,42,-13304929
FALSE,10,4,winsfs_b500_w250,43,-13305006
FALSE,10,4,winsfs_b500_w250,44,-13305083
FALSE,10,4,winsfs_b500_w250,45,-13305159
FALSE,10,4,winsfs_b500_w250,46,-13305233
FALSE,10,4,winsfs_b500_w250,47,-13305308
FALSE,10,4,winsfs_b500_w250,48,-13305381
FALSE,10,4,winsfs_b500_w250,49,-13305453
FALSE,10,4,winsfs_b500_w250,50,-13305525
FALSE,10,4,winsfs_b500_w250,51,-13305597
FALSE,10,4,winsfs_b500_w250,52,-13305667
FALSE,10,4,winsfs_b500_w250,53,-13305737
FALSE,10,4,winsfs_b500_w250,54,-13305806
FALSE,10,4,winsfs_b500_w250,55,-13305875
FALSE,10,4,winsfs_b500_w250,56,-13305943
