condition,epoch,i,x
winsfs_b500_w100,7,14,85712.687745
winsfs_b500_w100,7,15,83734.377309
winsfs_b500_w100,7,16,84932.664875
winsfs_b500_w100,7,17,92887.404337
winsfs_b500_w100,7,18,105177.884041
winsfs_b500_w100,7,19,135129.619443
winsfs_b500_w100,7,20,14735809.108135
winsfs_b500_w100,8,0,1153742578.975877
winsfs_b500_w100,8,1,1482221.081812
winsfs_b500_w100,8,2,790048.606333
winsfs_b500_w100,8,3,507063.293665
winsfs_b500_w100,8,4,354622.124488
winsfs_b500_w100,8,5,268554.744693
winsfs_b500_w100,8,6,215660.473102
winsfs_b500_w100,8,7,171905.700824
winsfs_b500_w100,8,8,149758.634919
winsfs_b500_w100,8,9,123037.125109
winsfs_b500_w100,8,10,129435.563885
winsfs_b500_w100,8,11,96607.989248
winsfs_b500_w100,8,12,98456.52501
winsfs_b500_w100,8,13,87681.385322
winsfs_b500_w100,8,14,85722.492309
winsfs_b500_w100,8,15,83730.783644
winsfs_b500_w100,8,16,84933.655791
winsfs_b500_w100,8,17,92887.20832
winsfs_b500_w100,8,18,105177.909865
winsfs_b500_w100,8,19,135129.617505
winsfs_b500_w100,8,20,14735809.108278
winsfs_b500_w100,9,0,1153742578.975972
winsfs_b500_w100,9,1,1482221.078637
winsfs_b500_w100,9,2,790048.638522
winsfs_b500_w100,9,3,507063.089513
winsfs_b500_w100,9,4,354623.010561
winsfs_b500_w100,9,5,268551.946692
winsfs_b500_w100,9,6,215667.264657
winsfs_b500_w100,9,7,171892.838792
winsfs_b500_w100,9,8,149777.964068
winsfs_b500_w100,9,9,123013.338506
winsfs_b500_w100,9,10,129460.863445
winsfs_b500_w100,9,11,96584.361782
winsfs_b500_w100,9,12,98475.04807
winsfs_b500_w100,9,13,87669.746433
winsfs_b500_w100,9,14,85728.206542
winsfs_b500_w100,9,15,83728.618146
winsfs_b500_w100,9,16,84934.278882
winsfs_b500_w100,9,17,92887.078116
winsfs_b500_w100,9,18,105177.928304
winsfs_b500_w100,9,19,135129.615977
winsfs_b500_w100,9,20,14735809.108383
winsfs_b500_w100,10,0,1153742578.976025
winsfs_b500_w100,10,1,1482221.07686
winsfs_b500_w100,10,2,790048.656553
winsfs_b500_w100,10,3,507062.975508
