condition,epoch,i,x
realsfs,76,11,83805.276156
realsfs,76,12,75208.243847
realsfs,76,13,41200.958965
realsfs,76,14,84571.379972
realsfs,76,15,23575.473763
realsfs,76,16,72242.947289
realsfs,76,17,29530.998917
realsfs,76,18,49742.371966
realsfs,76,19,35234.853667
realsfs,76,20,37206.607681
realsfs,76,21,32704.907489
realsfs,76,22,29099.716641
realsfs,76,23,28237.232656
realsfs,76,24,27649.388313
realsfs,79,0,631698451.822662
realsfs,79,1,532659.957489
realsfs,79,2,411351.540863
realsfs,79,3,262212.820468
realsfs,79,4,199468.037889
realsfs,79,5,148787.659253
realsfs,79,6,148484.302724
realsfs,79,7,101070.489225
realsfs,79,8,115102.414048
realsfs,79,9,98668.828783
realsfs,79,10,73474.312534
realsfs,79,11,83768.746269
realsfs,79,12,75288.894092
realsfs,79,13,41319.317518
realsfs,79,14,84632.881584
realsfs,79,15,23709.12482
realsfs,79,16,72340.323871
realsfs,79,17,29646.320016
realsfs,79,18,49816.331522
realsfs,79,19,35309.835466
realsfs,79,20,37239.856203
realsfs,79,21,32708.153515
realsfs,79,22,29061.411029
realsfs,79,23,28151.24009
realsfs,79,24,27508.378068
realsfs,82,0,631697918.990079
realsfs,82,1,532999.705578
realsfs,82,2,411682.486794
realsfs,82,3,262377.187004
realsfs,82,4,198376.354023
realsfs,82,5,151762.374651
realsfs,82,6,143530.860047
realsfs,82,7,106307.272147
realsfs,82,8,111875.728502
realsfs,82,9,97789.962313
realsfs,82,10,77182.958853
realsfs,82,11,80699.511501
realsfs,82,12,75631.598628
realsfs,82,13,43622.154777
realsfs,82,14,81378.978538
realsfs,82,15,26944.706872
realsfs,82,16,69655.708393
realsfs,82,17,31354.450449
realsfs,82,18,48705.691557
realsfs,82,19,35814.604295
realsfs,82,20,37036.186532
realsfs,82,21,32796.909153
realsfs,82,22,29162.113551
realsfs,82,23,28238.789023
realsfs,82,24,27387.71674
realsfs,85,0,631698435.446925
realsfs,85,1,532666.019763
realsfs,85,2,411384.229643
realsfs,85,3,262393.106382
realsfs,85,4,198303.031786
realsfs,85,5,151826.928637
realsfs,85,6,143513.496343
realsfs,85,7,106537.09134
realsfs,85,8,111859.158369
realsfs,85,9,97780.696113
realsfs,85,10,77258.70515
realsfs,85,11,80551.678371
realsfs,85,12,75577.602587
realsfs,85,13,43649.580839
realsfs,85,14,81207.940589
realsfs,85,15,27065.648182
realsfs,85,16,69650.886741
realsfs,85,17,31464.126157
realsfs,85,18,48748.013225
realsfs,85,19,35859.551726
realsfs,85,20,37030.44623
realsfs,85,21,32748.993644
realsfs,85,22,29061.722702
realsfs,85,23,28151.845507000002
realsfs,85,24,27507.053049
realsfs,88,0,631698249.552181
realsfs,88,1,532896.326891
realsfs,88,2,411192.156301
realsfs,88,3,262654.361839
realsfs,88,4,198040.229271
realsfs,88,5,152217.619654
realsfs,88,6,142928.141476
realsfs,88,7,107456.235459
realsfs,88,8,111245.574594
realsfs,88,9,97551.453776
realsfs,88,10,77878.172023
realsfs,88,11,79955.781236
realsfs,88,12,75721.975072
realsfs,88,13,44118.293926
realsfs,88,14,80382.433473
realsfs,88,15,27829.507912
realsfs,88,16,69090.453082000007
realsfs,88,17,31847.50869
realsfs,88,18,48533.25825
realsfs,88,19,35939.968174
realsfs,88,20,37019.337389
realsfs,88,21,32778.048509
realsfs,88,22,29053.189268
realsfs,88,23,28173.965739
realsfs,88,24,27479.455816
realsfs,91,0,631698422.617886
realsfs,91,1,532726.249141
realsfs,91,2,411215.639408
realsfs,91,3,262688.006981
realsfs,91,4,197975.537633
realsfs,91,5,152213.292551
realsfs,91,6,142783.19756
realsfs,91,7,107575.918117
realsfs,91,8,111199.816884
realsfs,91,9,97576.625549
realsfs,91,10,78002.085816
realsfs,91,11,79877.372578
realsfs,91,12,75735.844694
realsfs,91,13,44183.555958
realsfs,91,14,80259.650542
realsfs,91,15,27948.928819
realsfs,91,16,69011.540012
realsfs,91,17,31906.050207
realsfs,91,18,48499.837598
realsfs,91,19,35945.27319
realsfs,91,20,37005.760611
realsfs,91,21,32772.076707
realsfs,91,22,29044.386515
realsfs,91,23,28156.813523
realsfs,91,24,27506.921522
realsfs,94,0,631698293.596271
realsfs,94,1,532862.564325
realsfs,94,2,411181.752549
realsfs,94,3,262718.047346
realsfs,94,4,197862.295396
realsfs,94,5,152567.970031
realsfs,94,6,142253.218581
realsfs,94,7,108254.123667
realsfs,94,8,110743.434194
realsfs,94,9,97455.151537
realsfs,94,10,78521.042704
realsfs,94,11,79343.91489
realsfs,94,12,75824.772782
realsfs,94,13,44585.82811
realsfs,94,14,79584.694329
realsfs,94,15,28627.556786
realsfs,94,16,68496.978758
realsfs,94,17,32223.156302
realsfs,94,18,48332.071676
realsfs,94,19,36025.983534
realsfs,94,20,36990.750396
realsfs,94,21,32782.305674
realsfs,94,22,29046.667306
realsfs,94,23,28160.20012
realsfs,94,24,27494.922739
realsfs,97,0,631698429.253421
realsfs,97,1,532713.555211
realsfs,97,2,411206.299986
realsfs,97,3,262751.368439
realsfs,97,4,197816.089698
realsfs,97,5,152581.371212
realsfs,97,6,142120.28178
realsfs,97,7,108370.652827
realsfs,97,8,110685.709244
realsfs,97,9,97466.281063
realsfs,97,10,78638.722559
realsfs,97,11,79258.454596
realsfs,97,12,75842.146345
realsfs,97,13,44657.598023
realsfs,97,14,79453.565055
realsfs,97,15,28757.394197
realsfs,97,16,68406.622676
realsfs,97,17,32284.609472
realsfs,97,18,48297.198601
realsfs,97,19,36031.722485
realsfs,97,20,36977.484198
realsfs,97,21,32779.274631
realsfs,97,22,29045.237316
realsfs,97,23,28154.790814
realsfs,97,24,27507.316152
realsfs,100,0,631698311.234789
realsfs,100,1,532793.841179
realsfs,100,2,411215.820321
realsfs,100,3,262793.172238
realsfs,100,4,197729.381214
realsfs,100,5,152875.489874
realsfs,100,6,141658.611256
realsfs,100,7,108950.440457
realsfs,100,8,110296.665537
realsfs,100,9,97363.991268
realsfs,100,10,79097.851662
realsfs,100,11,78776.601362
realsfs,100,12,75921.131334
realsfs,100,13,45023.122452
realsfs,100,14,78814.489749
realsfs,100,15,29396.035968
realsfs,100,16,67923.228377
realsfs,100,17,32580.270143
realsfs,100,18,48150.376542
realsfs,100,19,36104.906538
realsfs,100,20,36966.344943
realsfs,100,21,32793.278626
realsfs,100,22,29048.361561
realsfs,100,23,28152.8726
realsfs,100,24,27495.480011
realsfs,103,0,631698436.935453
realsfs,103,1,532705.581973
realsfs,103,2,411200.765013
realsfs,103,3,262790.461898
realsfs,103,4,197687.291367
realsfs,103,5,152891.19552
realsfs,103,6,141562.172478
realsfs,103,7,109043.264115
realsfs,103,8,110248.507358
realsfs,103,9,97369.139254
realsfs,103,10,79192.492528
realsfs,103,11,78710.909797
realsfs,103,12,75943.985453
realsfs,103,13,45088.662425
realsfs,103,14,78710.487057
realsfs,103,15,29508.271894
realsfs,103,16,67844.090456
realsfs,103,17,32630.047179
realsfs,103,18,48118.298897
realsfs,103,19,36106.371009
realsfs,103,20,36951.131383
realsfs,103,21,32785.94854
realsfs,103,22,29045.074944
realsfs,103,23,28153.818341
realsfs,103,24,27508.095668
realsfs,106,0,631698107.60252
realsfs,106,1,533103.451522
realsfs,106,2,411115.394212
realsfs,106,3,262760.424236
realsfs,106,4,197552.473322
realsfs,106,5,153435.683697
realsfs,106,6,140832.30502
realsfs,106,7,110025.114596
realsfs,106,8,109559.151696
realsfs,106,9,97155.44551
realsfs,106,10,79981.433974
realsfs,106,11,77863.531943
realsfs,106,12,76117.358375
realsfs,106,13,45774.055907
realsfs,106,14,77539.481135
realsfs,106,15,30704.570697
realsfs,106,16,66919.279417
realsfs,106,17,33163.98813
realsfs,106,18,47849.757666
realsfs,106,19,36239.636646
realsfs,106,20,36938.477059
realsfs,106,21,32808.290807
realsfs,106,22,29041.076946
realsfs,106,23,28153.187534
realsfs,106,24,27491.827435
realsfs,109,0,631698402.869043
realsfs,109,1,532763.23784
realsfs,109,2,411167.734293
realsfs,109,3,262829.929918
realsfs,109,4,197499.423828
realsfs,109,5,153393.840474
realsfs,109,6,140695.563445
realsfs,109,7,110105.65961
realsfs,109,8,109540.643194
realsfs,109,9,97196.060224
realsfs,109,10,80097.752582
realsfs,109,11,77801.082266
realsfs,109,12,76128.289543
realsfs,109,13,45831.226657
realsfs,109,14,77413.311933
realsfs,109,15,30827.973811
realsfs,109,16,66846.76826
realsfs,109,17,33224.905423
realsfs,109,18,47820.402246
realsfs,109,19,36234.750246
realsfs,109,20,36912.382591
realsfs,109,21,32795.661759
realsfs,109,22,29040.584849
realsfs,109,23,28155.773172
realsfs,109,24,27507.172795
realsfs,112,0,631698406.381525
realsfs,112,1,532716.90908
