peak,n,d,condition,epoch,loglik,change
FALSE,10,8,winsfs_b500_w250,8,45.272,2.4244e-8
FALSE,10,8,winsfs_b500_w250,9,45.272,6.3835e-9
FALSE,10,8,winsfs_b500_w250,10,45.272,1.7814e-9
FALSE,10,8,winsfs_b500_w250,11,45.272,5.047e-10
FALSE,10,8,winsfs_b500_w250,12,45.272,1.4352e-10
FALSE,10,8,winsfs_b500_w250,13,45.272,4.0878e-11
FALSE,10,8,winsfs_b500_w250,14,45.272,1.1667e-11
FALSE,10,8,winsfs_b500_w250,15,45.272,3.3396e-12
FALSE,10,8,winsfs_b500_w250,16,45.272,9.7344e-13
FALSE,10,8,winsfs_b500_w250,17,45.272,2.9132e-13
FALSE,10,8,winsfs_b500_w250,18,45.272,4.9738e-14
FALSE,10,8,winsfs_b500_w250,19,45.272,7.816e-14
FALSE,10,8,winsfs_b500_w250,20,45.272,4.2633e-14
FALSE,10,8,winsfs_b500_w250,21,45.272,3.5527e-14
FALSE,10,8,winsfs_b500_w250,22,45.272,7.1054e-15
FALSE,10,8,winsfs_b500_w250,23,45.272,7.1054e-15
FALSE,10,8,winsfs_b500_w250,24,45.272,1.4211e-14
FALSE,10,8,winsfs_b500_w250,25,45.272,1.4211e-14
FALSE,10,8,winsfs_b500_w250,26,45.272,7.1054e-15
FALSE,10,8,winsfs_b500_w250,27,45.272,0
FALSE,10,8,winsfs_b500_w500,2,45.272,6.3133
FALSE,10,8,winsfs_b500_w500,3,45.271,9.3706e-4
FALSE,10,8,winsfs_b500_w500,4,45.271,7.4995e-6
FALSE,10,8,winsfs_b500_w500,5,45.271,1.6283e-6
FALSE,10,8,winsfs_b500_w500,6,45.271,2.6132e-6
FALSE,10,8,winsfs_b500_w500,7,45.271,2.5351e-6
FALSE,10,8,winsfs_b500_w500,8,45.271,1.6183e-6
FALSE,10,8,winsfs_b500_w500,9,45.271,7.6682e-7
FALSE,10,8,winsfs_b500_w500,10,45.271,3.0302e-7
FALSE,10,8,winsfs_b500_w500,11,45.271,1.1108e-7
FALSE,10,8,winsfs_b500_w500,12,45.271,4.1173e-8
FALSE,10,8,winsfs_b500_w500,13,45.271,1.632e-8
FALSE,10,8,winsfs_b500_w500,14,45.271,7.0515e-9
FALSE,10,8,winsfs_b500_w500,15,45.271,3.2849e-9
FALSE,10,8,winsfs_b500_w500,16,45.271,1.612e-9
FALSE,10,8,winsfs_b500_w500,17,45.271,8.157e-10
FALSE,10,8,winsfs_b500_w500,18,45.271,4.1955e-10
FALSE,10,8,winsfs_b500_w500,19,45.271,2.1762e-10
FALSE,10,8,winsfs_b500_w500,20,45.271,1.1347e-10
FALSE,10,8,winsfs_b500_w500,21,45.271,5.9082e-11
FALSE,10,8,winsfs_b500_w500,22,45.271,3.0767e-11
FALSE,10,8,winsfs_b500_w500,23,45.271,1.6215e-11
FALSE,10,8,winsfs_b500_w500,24,45.271,8.5194e-12
FALSE,10,8,winsfs_b500_w500,25,45.271,4.1851e-12
FALSE,10,8,winsfs_b500_w500,26,45.271,2.558e-12
FALSE,10,8,winsfs_b500_w500,27,45.271,1.009e-12
FALSE,10,8,winsfs_b500_w500,28,45.271,6.8212e-13
FALSE,10,8,winsfs_b500_w500,29,45.271,4.5475e-13
FALSE,10,8,winsfs_b500_w500,30,45.271,4.2633e-13
FALSE,10,8,winsfs_b500_w500,31,45.271,2.4869e-13
FALSE,10,8,winsfs_b500_w500,32,45.271,2.3448e-13
FALSE,10,8,winsfs_b500_w500,33,45.271,7.1054e-15
FALSE,10,8,winsfs_b500_w500,34,45.271,6.3949e-14
FALSE,10,8,winsfs_b500_w500,35,45.271,4.9738e-14
FALSE,10,8,winsfs_b500_w500,36,45.271,3.1264e-13
FALSE,10,8,winsfs_b500_w500,37,45.271,2.9843e-13
FALSE,10,8,winsfs_b500_w500,38,45.271,9.2371e-14
FALSE,10,8,winsfs_b500_w500,39,45.271,3.7659e-13
FALSE,10,8,winsfs_b500_w500,40,45.271,1.35e-13
FALSE,10,8,winsfs_b500_w500,41,45.271,9.2371e-14
FALSE,10,8,winsfs_b500_w500,42,45.271,0
FALSE,20,2,winsfs_b500_w100,2,132.24,14.615
FALSE,20,2,winsfs_b500_w100,3,132.15,0.091925
FALSE,20,2,winsfs_b500_w100,4,132.14,0.0045554
FALSE,20,2,winsfs_b500_w100,5,132.14,7.9044e-4
FALSE,20,2,winsfs_b500_w100,6,132.14,2.4463e-4
FALSE,20,2,winsfs_b500_w100,7,132.14,1.0074e-4
FALSE,20,2,winsfs_b500_w100,8,132.14,5.014e-5
FALSE,20,2,winsfs_b500_w100,9,132.14,2.8896e-5
FALSE,20,2,winsfs_b500_w100,10,132.14,1.8735e-5
FALSE,20,2,winsfs_b500_w100,11,132.14,1.333e-5
FALSE,20,2,winsfs_b500_w100,12,132.14,1.0179e-5
FALSE,20,2,winsfs_b500_w100,13,132.14,8.1916e-6
FALSE,20,2,winsfs_b500_w100,14,132.14,6.8509e-6
FALSE,20,2,winsfs_b500_w100,15,132.14,5.8944e-6
FALSE,20,2,winsfs_b500_w100,16,132.14,5.1802e-6
FALSE,20,2,winsfs_b500_w100,17,132.14,4.6269e-6
FALSE,20,2,winsfs_b500_w100,18,132.14,4.1851e-6
FALSE,20,2,winsfs_b500_w100,19,132.14,3.8239e-6
FALSE,20,2,winsfs_b500_w100,20,132.14,3.5226e-6
FALSE,20,2,winsfs_b500_w100,21,132.14,3.2672e-6
FALSE,20,2,winsfs_b500_w100,22,132.14,3.0476e-6
FALSE,20,2,winsfs_b500_w100,23,132.14,2.8567e-6
FALSE,20,2,winsfs_b500_w100,24,132.14,2.689e-6
FALSE,20,2,winsfs_b500_w100,25,132.14,2.5404e-6
FALSE,20,2,winsfs_b500_w100,26,132.14,2.4078e-6
FALSE,20,2,winsfs_b500_w100,27,132.14,2.2885e-6
FALSE,20,2,winsfs_b500_w100,28,132.14,2.1807e-6
FALSE,20,2,winsfs_b500_w100,29,132.14,2.0827e-6
FALSE,20,2,winsfs_b500_w100,30,132.14,1.9932e-6
FALSE,20,2,winsfs_b500_w100,31,132.14,1.911e-6
FALSE,20,2,winsfs_b500_w100,32,132.14,1.8353e-6
FALSE,20,2,winsfs_b500_w100,33,132.14,1.7654e-6
FALSE,20,2,winsfs_b500_w100,34,132.14,1.7005e-6
FALSE,20,2,winsfs_b500_w100,35,132.14,1.6401e-6
FALSE,20,2,winsfs_b500_w100,36,132.14,1.5838e-6
FALSE,20,2,winsfs_b500_w100,37,132.14,1.5312e-6
FALSE,20,2,winsfs_b500_w100,38,132.14,1.4818e-6
FALSE,20,2,winsfs_b500_w100,39,132.14,1.4354e-6
FALSE,20,2,winsfs_b500_w100,40,132.14,1.3917e-6
FALSE,20,2,winsfs_b500_w100,41,132.14,1.3505e-6
FALSE,20,2,winsfs_b500_w100,42,132.14,1.3115e-6
